run_id,model,dataset,seed,scenario,f1,accuracy,precision,recall,train_time,infer_time,unseen_rate,statistic,p_value
20260601_111248,Automata,BATADAL,123,original,0.8384610851350855,0.8521634615384616,0.8258974234765646,0.8521634615384616,0.033,0.01327,,,
20260601_111248,Automata,BATADAL,123,noisy,0.8370767255659343,0.8497596153846154,0.8253435753435754,0.8497596153846154,0.033,0.023345,,,
20260601_111248,Automata,BATADAL,123,unseen,0.8340689553707306,0.8425480769230769,0.8260275701758146,0.8425480769230769,0.033,0.013848,0.0048,,
20260601_111248,LSTM,BATADAL,2026,original,0.8575975509014044,0.9026442307692307,0.8168332870498936,0.9026442307692307,1.538,0.016402,,,
20260601_111248,LSTM,BATADAL,2026,noisy,0.8581973581973583,0.9038461538461539,0.8169378698224853,0.9038461538461539,1.538,0.016667,,,
20260601_111248,LSTM,BATADAL,2026,unseen,0.8141099096981451,0.8100961538461539,0.8181959169862394,0.8100961538461539,1.538,0.018572,,,
20260601_111248,GRU,BATADAL,2026,original,0.8581973581973583,0.9038461538461539,0.8169378698224853,0.9038461538461539,1.618,0.032357,,,
20260601_111248,GRU,BATADAL,2026,noisy,0.8581973581973583,0.9038461538461539,0.8169378698224853,0.9038461538461539,1.618,0.021307,,,
20260601_111248,GRU,BATADAL,2026,unseen,0.7946149257206047,0.78125,0.8085529393419615,0.78125,1.618,0.016896,,,
20260601_111248,CNN1D,BATADAL,2026,original,0.8579329353152638,0.9028776978417267,0.8172506412636997,0.9028776978417267,1.294,0.014479,,,
20260601_111248,CNN1D,BATADAL,2026,noisy,0.858531310971374,0.9040767386091128,0.81735474929409,0.9040767386091128,1.294,0.015056,,,
